postalcode,street,lat,lng,price,area,volume,floors,year_build,has_garden,type,photos,rooms,distance,formatted,name,housenumber,street.1,postcode,district,suburb,city,state,country
1081 HR Amsterdam,Pekkendam 8,52.3278,4.862,1700000,242,720,2,1964,1,woonhuis,26,7,45.89787691,"Van Der Boechorststraat 40, 1081 BV Amsterdam, Netherlands",,40,Van Der Boechorststraat,1081BV,Zuid,Buitenveldert-West,Amsterdam,North Holland,Netherlands
1060 PD Amsterdam,Pasubio 13,52.3491,4.7835,275000,84,281,2,1994,1,woonhuis,20,3,2.700931735,"De Alpen, 1060 PH Amsterdam, Netherlands",De Alpen,,De Alpen,1060PH,,De Aker,Amsterdam,North Holland,Netherlands
1098 CB Amsterdam,Hogeweg 2 A2,52.3529,4.9422,740000,143,450,2,1900,0,appartement,20,6,5.359207258,"Voltaplein 42, 1098 NS Amsterdam, Netherlands",,42,Voltaplein,1098NS,Oost,Oost,Amsterdam,North Holland,Netherlands
1013 AW Amsterdam,Silodam 384,52.3877,4.8839,38000,0,0,1,0,0,parkeergelegenheid,1,1,22.60058054,"Houtmankade 58A, 1013 MZ Amsterdam, Netherlands",,58A,Houtmankade,1013MZ,West,Spaarndammer- en Zeeheldenbuurt,Amsterdam,North Holland,Netherlands
1055 BN Amsterdam,Sanderijnstraat 29 III,52.3802,4.8524,285000,50,165,1,1940,1,appartement,21,3,1.768098137,"Hertspieghelweg 8-3, 1055 KL Amsterdam, Netherlands",,8-3,Hertspieghelweg,1055KL,West,Landlust,Amsterdam,North Holland,Netherlands
1066 DA Amsterdam,Gerrit van der Puijstraat 4,52.346,4.8163,415000,129,441,3,1993,1,woonhuis,31,6,2.708019666,"Antwerpenbaan, Laan van Vlaanderen, 1066 JL Amsterdam, Netherlands",Antwerpenbaan,,Laan van Vlaanderen,1066JL,Nieuw-West,Sloterpolder,Amsterdam,North Holland,Netherlands
1017 BA Amsterdam,Beulingstraat 6 /B,52.363,4.8924,650000,124,353,1,1906,0,appartement,25,2,0.613385294,"Kerkstraat 245L, 1017 GW Amsterdam, Netherlands",,245L,Kerkstraat,1017GW,Centrum,Centrum,Amsterdam,North Holland,Netherlands
1058 XK Amsterdam,Bonairestraat 64 hs,52.3579,4.851,299000,59,227,1,1930,1,appartement,17,3,3.014316146,"Surinameplein, 1058 Amsterdam, Netherlands",Surinameplein,,Surinameplein,1058,,,Amsterdam,North Holland,Netherlands
1068 WX Amsterdam,Nicolaas Anslijnstraat 145,52.3592,4.8052,200000,82,200,2,1963,0,appartement,33,3,1.968066562,"Osdorpplein 677, 1068 TC Amsterdam, Netherlands",,677,Osdorpplein,1068TC,Nieuw-West,Nieuw-West,Amsterdam,North Holland,Netherlands
1092 BB Amsterdam,Beukenplein 53,52.3565,4.9228,395000,82,237,1,1997,0,appartement,18,3,22.9775679,"Tugelaweg 40G, 1092 VG Amsterdam, Netherlands",,40G,Tugelaweg,1092VG,Oost,Transvaalbuurt,Amsterdam,North Holland,Netherlands
1082 MS Amsterdam,Gustav Mahlerplein 227,52.3311,4.8742,945000,157,471,1,2009,0,appartement,35,3,14.77331069,"Doddendaal 197, 1082 XT Amsterdam, Netherlands",,197,Doddendaal,1082XT,Zuid,Buitenveldert,Amsterdam,North Holland,Netherlands
1055 RZ Amsterdam,Nieuwpoortstraat 86 B6,52.3802,4.8524,237500,49,174,1,2017,1,appartement,20,2,1.768098137,"Hertspieghelweg 8-3, 1055 KL Amsterdam, Netherlands",,8-3,Hertspieghelweg,1055KL,West,Landlust,Amsterdam,North Holland,Netherlands
1016 XM Amsterdam,Raamstraat 4,52.3709,4.8816,895000,135,464,6,1906,1,woonhuis,37,9,0,"Canal Ring Area of Amsterdam, Konijnenstraat 20, 1021 HR Amsterdam, Netherlands",Canal Ring Area of Amsterdam,20,Konijnenstraat,1021HR,,Centrum,Amsterdam,North Holland,Netherlands
1106 DS Amsterdam,Wamelplein 107,52.2991,4.9754,139500,60,177,4,1983,0,appartement,20,2,2.949591066,"Pannerdenstraat, 1106 BG Amsterdam, Netherlands",Pannerdenstraat,,Pannerdenstraat,1106BG,,Zuidoost,Amsterdam,North Holland,Netherlands
1013 Amsterdam,Narva Eiland West (Bouwnr. 71),52.3877,4.8839,753919,142,355,2,2017,0,woonhuis,10,6,22.60058054,"Houtmankade 58A, 1013 MZ Amsterdam, Netherlands",,58A,Houtmankade,1013MZ,West,Spaarndammer- en Zeeheldenbuurt,Amsterdam,North Holland,Netherlands
1072 CV Amsterdam,Albert Cuypstraat 40 -3,52.3535,4.8902,250000,37,89,1,1906,0,appartement,19,2,4.56624317,"Eerste Jan van der Heijdenstraat 109-HV, 1072 TN Amsterdam, Netherlands",,109-HV,Eerste Jan van der Heijdenstraat,1072TN,,Zuid,Amsterdam,North Holland,Netherlands
