postalcode;street;lat;lng;price;area;volume;floors;year_build;has_garden;type;photos;rooms
1096 DS Amsterdam;STATE Amsterdam (Bouwnr. 303);52.33870000;4.91970000;1620949;238;595;1;2016;0;appartement;3;5
1093 XZ Amsterdam;Pieter Nieuwlandstraat 106 C;52.36180000;4.92800000;385000;86;232;4;1982;0;appartement;19;4
1054 DV Amsterdam;Eerste Helmersstraat 197 II hg;52.36170000;4.86690000;360000;71;220;5;1910;0;appartement;14;2
1056 JV Amsterdam;Willem de Zwijgerlaan 132 III;52.37320000;4.85600000;265000;56;186;1;1931;0;appartement;19;3
1071 WS Amsterdam;Bronckhorststraat 26 3;52.35520000;4.87890000;299000;54;193;1;1923;0;appartement;22;2
1098 XA Amsterdam;Carolina MacGillavrylaan 55;52.35290000;4.94220000;555000;124;390;17;2011;0;appartement;27;5
1054 WJ Amsterdam;Wilhelminastraat 36 HS;52.36170000;4.86690000;750000;112;445;2;1899;1;appartement;34;4
1018 EX Amsterdam;Sarphatistraat 75 -B;52.36760000;4.91840000;450000;77;295;1;1931;0;appartement;21;3
1064 NC Amsterdam;Bierens de Haanstraat 11;52.37420000;4.82180000;182500;75;175;2;1945;1;woonhuis;17;4
1015 CT Amsterdam;Keizersgracht 74 K;52.37840000;4.88360000;1495000;237;734;1;1906;1;appartement;19;3
1075 XA Amsterdam;Amstelveenseweg 157 I;52.35180000;4.85860000;375000;67;243;1;1912;0;appartement;12;3
1078 JM Amsterdam;Diezestraat 15 I;52.34640000;4.89770000;389000;70;229;1;1929;0;appartement;22;3
1011 LA Amsterdam;Oudeschans 20 1;52.37100000;4.90410000;425000;60;185;1;1906;0;appartement;14;3
1017 JW Amsterdam;Prinsengracht 711 /C;52.36300000;4.89240000;1400000;195;737;5;1923;0;appartement;45;3
1083 HM Amsterdam;Tommaso Albinonistraat 40;52.33020000;4.88440000;499000;116;320;1;2006;0;appartement;17;3
1058 KC Amsterdam;Haarlemmermeerstraat 58 II+ III;52.35790000;4.85100000;825000;186;595;3;1933;0;appartement;44;6
1098 AJ Amsterdam;Middenweg 113 A4;52.35290000;4.94220000;395000;82;222;4;1950;0;appartement;16;3
1060 TV Amsterdam;Pieter Calandlaan 592;52.34910000;4.78350000;270000;95;279;6;1998;0;appartement;23;3
1078 JH Amsterdam;Deurloostraat 90 I;52.34640000;4.89770000;425000;72;236;1;1906;1;appartement;23;5
1015 JN Amsterdam;Goudsbloemstraat 203 E;52.37840000;4.88360000;285000;43;112;1;1905;0;appartement;20;2
1063 BL Amsterdam;Burgemeester De Vlugtlaan 231;52.38140000;4.82590000;169000;71;195;1;1958;0;appartement;17;3
