original_postalcode,original_street,original_lat,original_lng,original_price,original_area,original_volume,original_floors,original_year_build,original_has_garden,original_type,original_photos,original_rooms,distance,formatted,lat,lon,name,housenumber,street,postcode,district,suburb,city,state,country,country_code,attribution,attribution_license,attribution_url
1056 PV Amsterdam,Orteliusstraat 362 HS,52.37320000,4.85600000,425000,78,283,1,1931,1,appartement,32,3,25.674998739078635,"Admiralengracht 228-2, 1056 TK Amsterdam, Netherlands",52.37323,4.856375,,228-2,Admiralengracht,1056TK,West,De Krommert,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1069 MN Amsterdam,Zwarte Pad 10,52.35560000,4.79070000,498000,0,0,1,0,0,onbekend,1,1,25.493785079984995,"Langswater 384, 1069 EC Amsterdam, Netherlands",52.355533,4.790341,,384,Langswater,1069EC,Nieuw-West,De Punt,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1093 XA Amsterdam,Tweede van Swindenstraat 178 -G,52.36180000,4.92800000,450000,90,280,1,2014,0,appartement,38,4,0,"Dappermarkt, Tweede van Swindenstraat, 1093 GS Amsterdam, Netherlands",52.363045150000005,4.92724532349044,Dappermarkt,,Tweede van Swindenstraat,1093GS,,Oost,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1055 AR Amsterdam,Griseldestraat 9 hs,52.38020000,4.85240000,275000,68,228,2,1940,0,appartement,38,4,1.7680981373911713,"Hertspieghelweg 8-3, 1055 KL Amsterdam, Netherlands",52.380187,4.852385,,8-3,Hertspieghelweg,1055KL,West,Landlust,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1055 BN Amsterdam,Sanderijnstraat 17 -II,52.38020000,4.85240000,250000,57,166,1,1940,0,appartement,30,4,1.7680981373911713,"Hertspieghelweg 8-3, 1055 KL Amsterdam, Netherlands",52.380187,4.852385,,8-3,Hertspieghelweg,1055KL,West,Landlust,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1103 TB Amsterdam,Bijlmerdreef 867,52.32310000,4.97220000,199000,100,280,2,2000,1,appartement,15,5,12.548452217043597,"Harriet Freezerstraat 113, 1103 JP Amsterdam, Netherlands",52.323119,4.972382,,113,Harriet Freezerstraat,1103JP,Zuidoost,Bijlmer Oost,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1053 LZ Amsterdam,Nassaukade 354,52.36680000,4.86810000,450000,65,275,4,1887,0,appartement,40,4,0,"De Hallen, Hannie Dankbaarpassage 20, 1053 RS Amsterdam, Netherlands",52.3667658,4.868139,De Hallen,20,Hannie Dankbaarpassage,1053RS,,West,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1017 ZL Amsterdam,Huidekoperstraat 9 hs,52.36300000,4.89240000,325000,53,212,1,1906,1,appartement,26,2,0.6133852941470841,"Kerkstraat 245L, 1017 GW Amsterdam, Netherlands",52.3629963,4.8923933,,245L,Kerkstraat,1017GW,Centrum,Centrum,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1066 TC Amsterdam,Kortrijk 54,52.34600000,4.81630000,695000,163,597,3,1995,1,woonhuis,49,6,2.7080196663115323,"Antwerpenbaan, Laan van Vlaanderen, 1066 JL Amsterdam, Netherlands",52.3460233,4.8162884,Antwerpenbaan,,Laan van Vlaanderen,1066JL,Nieuw-West,Sloterpolder,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1103 AS Amsterdam,Empangeni 39,52.32310000,4.97220000,285000,131,356,3,2006,1,woonhuis,20,5,12.548452217043597,"Harriet Freezerstraat 113, 1103 JP Amsterdam, Netherlands",52.323119,4.972382,,113,Harriet Freezerstraat,1103JP,Zuidoost,Bijlmer Oost,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1061 DJ Amsterdam,Bos en Lommerweg 280,52.37360000,4.83950000,365000,96,281,1,2011,0,appartement,28,4,19.250318965195206,"Rinus Michelslaan 14A, 1061 MB Amsterdam, Netherlands",52.373438,4.8394,,14A,Rinus Michelslaan,1061MB,West,Kolenkitbuurt,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1018 WT Amsterdam,Nieuwe Achtergracht 104 G,52.36760000,4.91840000,549000,88,302,5,1887,0,appartement,26,3,4.080374033250982,"Entrepotdoksluis 4, 1018 AW Amsterdam, Netherlands",52.367578,4.9184481,,4,Entrepotdoksluis,1018AW,Centrum,Centrum,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1108 CW Amsterdam,Leusdenhof 77,52.30820000,4.98070000,179500,69,185,1,1976,0,appartement,15,3,60.948473119679264,"Openbare Daltonschool Nellestein, Leksmondplein 31, 1108 EL Amsterdam, Netherlands",52.308666,4.980228,Openbare Daltonschool Nellestein,31,Leksmondplein,1108EL,Zuidoost,Nellestein,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1013 KH Amsterdam,Haarlemmerdijk 169 boven,52.38770000,4.88390000,565000,85,265,2,1906,0,appartement,52,4,22.600580536478933,"Houtmankade 58A, 1013 MZ Amsterdam, Netherlands",52.387801,4.883611,,58A,Houtmankade,1013MZ,West,Spaarndammer- en Zeeheldenbuurt,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1054 EV Amsterdam,Roemer Visscherstraat 9,52.36170000,4.86690000,2500000,350,1372,4,1892,1,woonhuis,34,10,12.085615741751521,"Brederodestraat 15-2, 1054 MP Amsterdam, Netherlands",52.361808,4.86692,,15-2,Brederodestraat,1054MP,West,Helmersbuurt,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1095 MT Amsterdam,Lien Gisolfpad 1,52.36660000,4.95200000,225000,50,175,1,2016,1,appartement,27,2,6.439024133897987,"Zeeburgerdijk 585, 1095 AE Amsterdam, Netherlands",52.36658,4.952089,,585,Zeeburgerdijk,1095AE,Oost,Indische Buurt Oost,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1053 KB Amsterdam,Jacob van Lennepstraat 238 B,52.36680000,4.86810000,349000,62,148,1,1904,0,appartement,25,2,0,"De Hallen, Hannie Dankbaarpassage 20, 1053 RS Amsterdam, Netherlands",52.3667658,4.868139,De Hallen,20,Hannie Dankbaarpassage,1053RS,,West,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
