original_postalcode,original_street,original_lat,original_lng,original_price,original_area,original_volume,original_floors,original_year_build,original_has_garden,original_type,original_photos,original_rooms,distance,formatted,lat,lon,housenumber,name,street,district,suburb,postcode,city,state,country,country_code,attribution,attribution_license,attribution_url
1107 DH Amsterdam,Wethouder Vospad 20,52.29320000,4.98030000,235000,90,300,3,1986,1,woonhuis,17,5,5.755793401264633,"Sliedrechtstraat, 1107 JR Amsterdam, Netherlands",52.2932466,4.9805132,,Sliedrechtstraat,Sliedrechtstraat,,Gein,1107JR,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1076 CG Amsterdam,Stadionplein 23 -III,52.34550000,4.86070000,400000,80,283,2,1906,0,appartement,22,4,10.92988934570428,"Stadionweg 227-1, 1076 NT Amsterdam, Netherlands",52.3454054,4.8607437,227-1,,Stadionweg,Zuid,Zuid,1076NT,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1066 MR Amsterdam,Laan van Vlaanderen 178,52.34600000,4.81630000,250000,74,215,1,1993,0,appartement,16,3,2.7080196663115323,"Antwerpenbaan, Laan van Vlaanderen, 1066 JL Amsterdam, Netherlands",52.3460233,4.8162884,,Antwerpenbaan,Laan van Vlaanderen,Nieuw-West,Sloterpolder,1066JL,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1034 BR Amsterdam,Botterstraat 31,52.40750000,4.91700000,295000,94,345,2,1989,1,woonhuis,30,4,22.620688767871073,"Bezaanjachtplein 243, 1034 CR Amsterdam, Netherlands",52.4077,4.916939,243,,Bezaanjachtplein,Noord,Banne Buiksloot,1034CR,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1017 LC Amsterdam,Prinsengracht 736 A,52.36300000,4.89240000,750000,100,330,1,1906,0,appartement,20,3,0.6133852941470841,"Kerkstraat 245L, 1017 GW Amsterdam, Netherlands",52.3629963,4.8923933,245L,,Kerkstraat,Centrum,Centrum,1017GW,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1064 CT Amsterdam,Burgemeester Hogguerstraat 435,52.37420000,4.82180000,37500,0,0,1,0,0,parkeergelegenheid,6,1,6.234539033066015,"A.J. Krophollerstraat 6, 1064 DB Amsterdam, Netherlands",52.3742289,4.8217213,6,,A.J. Krophollerstraat,,Nieuw-West,1064DB,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1066 NN Amsterdam,Vorselaarstraat 6,52.34600000,4.81630000,300000,102,284,2,1992,1,woonhuis,27,3,2.7080196663115323,"Antwerpenbaan, Laan van Vlaanderen, 1066 JL Amsterdam, Netherlands",52.3460233,4.8162884,,Antwerpenbaan,Laan van Vlaanderen,Nieuw-West,Sloterpolder,1066JL,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1082 KT Amsterdam,Willem van Weldammelaan 81,52.33110000,4.87420000,1850000,271,855,1,2008,0,appartement,28,5,14.773310690004186,"Doddendaal 197, 1082 XT Amsterdam, Netherlands",52.3309672,4.8742065,197,,Doddendaal,Zuid,Buitenveldert,1082XT,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1060 PH Amsterdam,Ortler 45,52.34910000,4.78350000,399000,140,460,3,1996,1,woonhuis,30,6,2.700931735231882,"De Alpen, 1060 PH Amsterdam, Netherlands",52.3502145,4.780774,,De Alpen,De Alpen,,De Aker,1060PH,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1075 VZ Amsterdam,Amstelveenseweg 149 3,52.35180000,4.85860000,375000,59,236,5,1906,0,appartement,21,3,12.51019917998629,"Koninginneweg 237-H, 1075 CT Amsterdam, Netherlands",52.3519024,4.8585237,237-H,,Koninginneweg,Zuid,Zuid,1075CT,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1082 XN Amsterdam,Doddendaal 15,52.33110000,4.87420000,159000,34,129,1,1963,1,appartement,17,2,14.773310690004186,"Doddendaal 197, 1082 XT Amsterdam, Netherlands",52.3309672,4.8742065,197,,Doddendaal,Zuid,Buitenveldert,1082XT,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1057 BH Amsterdam,Orteliusstraat 130 D,52.36770000,4.85510000,450000,86,275,2,2001,1,appartement,20,4,0.972402630340097,"Maranatha, Cabotstraat 33, 1057 VP Amsterdam, Netherlands",52.36786965,4.855041608946916,33,Maranatha,Cabotstraat,West,West,1057VP,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1060 LT Amsterdam,Hebridenlaan 51,52.34910000,4.78350000,424500,161,495,3,2003,1,woonhuis,21,5,2.700931735231882,"De Alpen, 1060 PH Amsterdam, Netherlands",52.3502145,4.780774,,De Alpen,De Alpen,,De Aker,1060PH,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1051 HG Amsterdam,Van Hallstraat 673,52.38180000,4.87170000,650000,122,350,1,2005,0,appartement,25,4,4.222585482550074,"Van Beuningenstraat 194E, 1051 XZ Amsterdam, Netherlands",52.381764,4.8716802,194E,,Van Beuningenstraat,West,West,1051XZ,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1018 AD Amsterdam,Entrepotdok 156,52.36760000,4.91840000,695000,140,397,1,2000,0,appartement,46,3,4.080374033250982,"Entrepotdoksluis 4, 1018 AW Amsterdam, Netherlands",52.367578,4.9184481,4,,Entrepotdoksluis,Centrum,Centrum,1018AW,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
